u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width,access
549502523,3751074736,0,371870251,True,2,4,宇都宮バイパス,trunk,50,False,51.369,"LINESTRING (139.8808012 36.5367883, 139.8808301 36.5369357, 139.8808554 36.5370263, 139.8808958 36.5371129, 139.8809646 36.5372277)",,,,
549502523,9335999326,0,416430015,True,2,119,日光街道,trunk,50,False,42.077,"LINESTRING (139.8808012 36.5367883, 139.8807909 36.5371114, 139.8807901 36.5371666)",,,,
549502539,1159110556,0,116647917,False,4,,旭陵通り,tertiary,,True,68.367,"LINESTRING (139.8804014 36.5440753, 139.8807798 36.5441225, 139.8811576 36.5441698)",,,,
549502539,1119987948,0,365228193,False,2,,不動前通り,tertiary,,True,36.515,"LINESTRING (139.8804014 36.5440753, 139.8802912 36.5440597, 139.8802325 36.5440544, 139.8801946 36.5440569, 139.8801546 36.5440653, 139.8801283 36.5440749, 139.8800974 36.5440884, 139.8800722 36.5441031, 139.8800264 36.5441381)",,,,
549502539,1339287795,0,374650238,False,4,119,日光街道,trunk,50,True,277.691,"LINESTRING (139.8804014 36.5440753, 139.8803906 36.5442405, 139.8803785 36.5443827, 139.8802235 36.5458343, 139.8801406 36.5465637)",,,,
549502539,5270484385,0,649597947,False,4,119,日光街道,trunk,50,False,304.485,"LINESTRING (139.8804014 36.5440753, 139.8805184 36.5419811, 139.880558 36.5413399)",,,,
549502543,1159112608,0,100283859,False,,,,unclassified,,False,121.738,"LINESTRING (139.8871033 36.5412685, 139.8873203 36.5407659, 139.8880189 36.5407241)",,,,
549502543,1360345620,0,371542810,False,2,4,宇都宮バイパス,trunk,50,False,141.023,"LINESTRING (139.8871033 36.5412685, 139.8880209 36.5416737, 139.8884927 36.5418703)",,,,
549502543,1357510095,0,"[371542810, 43529940, 371542814]",False,2,4,宇都宮バイパス,trunk,50,True,246.235,"LINESTRING (139.8871033 36.5412685, 139.8864101 36.5409658, 139.886328 36.5409302, 139.8856819 36.5406499, 139.8854124 36.540534, 139.8849279 36.5403258, 139.8846812 36.5402119)",yes,,,
549502549,1360345620,0,371542810,False,2,4,宇都宮バイパス,trunk,50,True,122.124,"LINESTRING (139.8896876 36.5424038, 139.8884927 36.5418703)",,,,
549502549,1159112617,0,100429566,False,2,35,上三川街道,primary,40,False,151.955,"LINESTRING (139.8896876 36.5424038, 139.8896102 36.541623, 139.8895774 36.541253, 139.8895566 36.5410413)",,,,
549502549,1159112679,0,100429566,False,2,35,上三川街道,primary,40,True,228.71599999999998,"LINESTRING (139.8896876 36.5424038, 139.8896877 36.5426256, 139.8896825 36.5428315, 139.8896715 36.5431273, 139.8896394 36.5438431, 139.8896253 36.5441665, 139.889605 36.5444594)",,,,
549502549,1159112700,0,371542810,False,2,4,宇都宮バイパス,trunk,50,False,180.209,"LINESTRING (139.8896876 36.5424038, 139.8900082 36.5425428, 139.8904479 36.5427308, 139.8909488 36.5429461, 139.891465 36.5431702)",,,,
