osmid,y,x,street_count,highway,geometry
549502523,36.5367883,139.8808012,3,,POINT (139.8808012 36.5367883)
549502539,36.5440753,139.8804014,4,traffic_signals,POINT (139.8804014 36.5440753)
549502543,36.5412685,139.8871033,3,,POINT (139.8871033 36.5412685)
549502549,36.5424038,139.8896876,4,traffic_signals,POINT (139.8896876 36.5424038)
549502551,36.5440714,139.8935183,4,,POINT (139.8935183 36.5440714)
549502558,36.5569737,139.8870209,3,,POINT (139.8870209 36.5569737)
549502568,36.5572784,139.8820427,4,traffic_signals,POINT (139.8820427 36.5572784)
549502571,36.5573622,139.8829955,4,traffic_signals,POINT (139.8829955 36.5573622)
549502576,36.561763,139.8799504,3,traffic_signals,POINT (139.8799504 36.561763)
549502577,36.5616585,139.8799413,4,traffic_signals,POINT (139.8799413 36.5616585)
549502579,36.5574143,139.8854278,4,traffic_signals,POINT (139.8854278 36.5574143)
549502584,36.5616224,139.8830318,4,traffic_signals,POINT (139.8830318 36.5616224)
549502609,36.5550722,139.8948884,4,traffic_signals,POINT (139.8948884 36.5550722)
549502619,36.5598788,139.8932441,4,traffic_signals,POINT (139.8932441 36.5598788)
549502623,36.5599645,139.8933237,4,traffic_signals,POINT (139.8933237 36.5599645)
549502625,36.5616928,139.8966345,4,traffic_signals,POINT (139.8966345 36.5616928)
549502629,36.5617924,139.8958206,3,,POINT (139.8958206 36.5617924)
549502650,36.5520524,139.907665,4,traffic_signals,POINT (139.907665 36.5520524)
549502666,36.5474961,139.9313193,4,traffic_signals,POINT (139.9313193 36.5474961)
549502694,36.5669142,139.899676,3,traffic_signals,POINT (139.899676 36.5669142)
549502697,36.5650111,139.8985818,4,traffic_signals,POINT (139.8985818 36.5650111)
549502698,36.563539,139.8977017,4,traffic_signals,POINT (139.8977017 36.563539)
549502710,36.5767718,139.9177547,3,traffic_signals,POINT (139.9177547 36.5767718)
549502716,36.5818896,139.9394195,4,,POINT (139.9394195 36.5818896)
549502725,36.5853394,139.9373041,3,,POINT (139.9373041 36.5853394)
